batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
16,5,3,2,0.001,128,128,0.7607843137254902,0.6568265682656826,0.9446808510638298,0.6341463414634146,0.6376811594202898,0.7268238467877414
16,5,3,2,0.001,128,64,0.710204081632653,0.7322033898305085,0.9331436699857752,0.6408839779005525,0.6,0.7232870238698978
16,5,3,3,0.001,512,64,0.7340823970037453,0.6762589928057554,0.9263456090651558,0.6483516483516484,0.5454545454545454,0.70609863853617
16,5,3,2,0.001,512,128,0.7017543859649122,0.6515151515151515,0.9388335704125178,0.591715976331361,0.6410256410256411,0.7049689450499167
16,3,7,2,0.001,128,64,0.6567164179104478,0.6962457337883959,0.9320113314447592,0.5806451612903226,0.6376811594202898,0.700659960770843
16,3,7,3,0.001,512,64,0.7416666666666667,0.7147766323024055,0.9290882778581766,0.5290322580645161,0.5822784810126582,0.6993684631808846
16,3,7,3,0.001,128,64,0.7086614173228346,0.6381322957198443,0.9331436699857752,0.5257142857142857,0.5454545454545454,0.670221242839457
16,5,7,2,0.001,512,64,0.701195219123506,0.5625,0.9255014326647564,0.5862068965517241,0.5423728813559322,0.6635552859391838
16,5,7,2,0.001,128,128,0.652542372881356,0.6440677966101694,0.9202279202279202,0.5365853658536586,0.5423728813559322,0.6591592673858073
16,5,3,3,0.001,128,128,0.6842105263157895,0.5569620253164557,0.932761087267525,0.5595238095238095,0.5483870967741935,0.6563689090395546
16,5,7,2,0.001,512,128,0.5789473684210527,0.662020905923345,0.9080459770114944,0.5128205128205128,0.5172413793103449,0.6358152286973499
16,5,7,2,0.001,128,64,0.6411483253588517,0.6240601503759399,0.9230769230769232,0.5394736842105263,0.4137931034482758,0.6283104372941034
16,5,3,2,0.001,512,64,0.6601941747572816,0.5992217898832685,0.9403409090909092,0.5432098765432098,0.3673469387755102,0.6220627378100358
16,5,3,3,0.001,128,64,0.6160714285714286,0.607773851590106,0.9124820659971306,0.5058823529411764,0.2978723404255319,0.5880164079050747
16,3,7,2,0.001,512,128,0.5658536585365853,0.4782608695652174,0.9209039548022598,0.4137931034482758,0.4444444444444444,0.5646512061593565
16,5,7,2,1e-05,512,128,0.4878048780487805,0.5311203319502075,0.9093484419263456,0.3892617449664429,0.44,0.5515070793783552
16,5,3,3,0.001,512,128,0.6097560975609756,0.4727272727272727,0.919605077574048,0.1714285714285714,0.5245901639344263,0.5396214366450588
16,5,7,2,1e-05,128,128,0.4873096446700508,0.6258992805755396,0.9083215796897038,0.3478260869565217,0.3111111111111111,0.5360935406005854
16,3,3,3,0.001,128,128,0.5158371040723982,0.4695652173913043,0.9260808926080892,0.2241379310344827,0.375,0.5021242290212549
16,5,7,2,1e-05,128,64,0.5024630541871922,0.5692307692307692,0.9113924050632912,0.2068965517241379,0.3111111111111111,0.5002187782633003
16,5,7,2,1e-05,512,64,0.4615384615384615,0.5681818181818182,0.9129213483146068,0.1153846153846153,0.3673469387755102,0.4850746364390024
16,3,3,2,0.001,512,128,0.4954954954954955,0.4838709677419355,0.9183098591549296,0.0761904761904762,0.3829787234042553,0.4713691043974184
16,3,3,2,0.001,512,64,0.5196078431372549,0.4444444444444444,0.9211267605633804,0.1935483870967742,0.1951219512195122,0.4547698772922732
16,3,7,3,0.001,128,128,0.4137931034482758,0.512,0.9187675070028012,0.0,0.2608695652173913,0.4210860351336936
16,3,3,2,0.001,128,128,0.5229357798165137,0.4936170212765957,0.9185393258426966,0.0,0.0512820512820512,0.3972748356435714
16,5,3,3,1e-05,512,128,0.4731182795698925,0.5060240963855421,0.9036827195467422,0.0943396226415094,0.0,0.3954329436287372
16,3,7,3,1e-05,512,128,0.4352331606217616,0.4841269841269841,0.9078014184397164,0.1296296296296296,0.0,0.3913582385636183
16,5,3,2,1e-05,512,64,0.4262295081967213,0.5020576131687243,0.9154929577464788,0.0769230769230769,0.0,0.3841406312070002
16,5,3,3,1e-05,128,128,0.448087431693989,0.5,0.9044222539229672,0.0396039603960396,0.0,0.3784227292025992
16,3,3,3,0.001,128,64,0.3544303797468354,0.4836065573770491,0.9106145251396648,0.0,0.1,0.3697302924527099
16,5,3,2,1e-05,128,64,0.4069767441860465,0.4959349593495935,0.907539118065434,0.0202020202020202,0.0,0.3661305683606187
16,5,3,3,1e-05,128,64,0.3780487804878049,0.5040650406504065,0.907539118065434,0.04,0.0,0.365930587840729
16,5,3,3,1e-05,512,64,0.4222222222222222,0.4979919678714859,0.902127659574468,0.0,0.0,0.3644683699336352
16,3,7,3,1e-05,128,128,0.3930635838150289,0.4899598393574297,0.9078014184397164,0.0202020202020202,0.0,0.362205372362839
16,5,3,2,1e-05,512,128,0.4022988505747126,0.4958677685950413,0.9028571428571428,0.0,0.0,0.3602047524053793
16,3,7,3,1e-05,128,64,0.3793103448275862,0.488,0.9018492176386912,0.0,0.0,0.3538319124932555
16,3,7,2,1e-05,128,64,0.3757575757575757,0.4696356275303643,0.9034090909090908,0.0,0.0,0.3497604588394062
16,5,3,2,1e-05,128,128,0.3312883435582822,0.4939271255060729,0.9031339031339032,0.0,0.0,0.3456698744396516
16,3,7,3,1e-05,512,64,0.3209876543209876,0.492063492063492,0.9008498583569404,0.0,0.0,0.342780200948284
16,3,3,3,0.001,512,64,0.375,0.3981900452488687,0.9052924791086352,0.0,0.0,0.3356965048715007
16,3,7,2,1e-05,128,128,0.2602739726027397,0.4860557768924303,0.9034090909090908,0.0,0.0,0.3299477680808522
16,3,3,2,0.001,128,64,0.2028985507246377,0.4836065573770491,0.904494382022472,0.0,0.0,0.3181998980248317
16,3,7,2,1e-05,512,128,0.1617647058823529,0.492063492063492,0.9012875536480688,0.0,0.0,0.3110231503187827
16,3,7,2,1e-05,512,64,0.0,0.488,0.9034090909090908,0.0,0.0,0.2782818181818182
16,3,3,3,1e-05,512,128,0.0,0.4816326530612245,0.9093484419263456,0.0,0.0,0.278196218997514
16,3,7,3,0.001,512,128,0.0,0.4860557768924303,0.8974358974358975,0.0,0.0,0.2766983348656655
16,3,7,2,0.001,128,128,0.0,0.4901185770750988,0.8904899135446686,0.0,0.0,0.2761216981239535
16,3,3,3,1e-05,512,64,0.0,0.4696356275303643,0.906515580736544,0.0,0.0,0.2752302416533816
16,3,7,2,0.001,512,64,0.0,0.4780876494023904,0.8930099857346647,0.0,0.0,0.274219527027411
16,3,3,2,1e-05,512,64,0.0,0.4647302904564315,0.9018492176386912,0.0,0.0,0.2733159016190246
16,3,3,2,1e-05,128,128,0.0,0.4615384615384615,0.9036827195467422,0.0,0.0,0.2730442362170407
16,3,3,3,1e-05,128,128,0.0,0.4489795918367347,0.8983050847457628,0.0,0.0,0.2694569353164995
16,3,3,2,1e-05,512,128,0.0,0.4340425531914894,0.9024045261669024,0.0,0.0,0.2672894158716783
16,3,3,3,1e-05,128,64,0.0,0.4242424242424242,0.9111111111111112,0.0,0.0,0.267070707070707
16,3,3,2,1e-05,128,64,0.0,0.4224137931034483,0.9032258064516128,0.0,0.0,0.2651279199110122
16,3,3,3,0.001,512,128,0.0,0.3251231527093596,0.8939179632248939,0.0,0.0,0.2438082231868507
