batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
64,4,3,2,0.0001,128,128,0.5791245791245792,0.40358744394618834,0.9070100143061517,0.3708609271523179,0.2962962962962963,0.5113758521651067
64,4,3,2,0.001,128,128,0.5671641791044776,0.4645669291338583,0.9024745269286754,0.16393442622950818,0.38961038961038963,0.49755009020138175
64,4,3,3,0.0001,128,128,0.5229681978798587,0.46511627906976744,0.9088319088319088,0.3708609271523179,0.28,0.5095554625867706
64,4,3,3,0.001,128,128,0.5213675213675214,0.4979919678714859,0.9104046242774566,0.1694915254237288,0.23255813953488372,0.4663627556950153
64,4,7,2,0.0001,128,128,0.5317460317460317,0.4691358024691358,0.8941176470588236,0.20689655172413793,0.3076923076923077,0.4819176681380874
64,4,7,2,0.001,128,128,0.6453900709219859,0.5964912280701754,0.9190751445086706,0.38461538461538464,0.5,0.6091143656232433
64,4,7,3,0.0001,128,128,0.6758620689655173,0.631578947368421,0.9032258064516129,0.39416058394160586,0.5205479452054794,0.6250750703865273
64,4,7,3,0.001,128,128,0.5016722408026756,0.5078125,0.899135446685879,0.0,0.0,0.38172403749771094
64,5,3,2,0.0001,128,128,0.6798679867986799,0.5393258426966292,0.9040697674418605,0.49056603773584906,0.3076923076923077,0.5843043884730653
64,5,3,2,0.001,128,128,0.5038759689922481,0.38392857142857145,0.9004329004329005,0.06060606060606061,0.1,0.3897687002919561
64,5,3,3,0.0001,128,128,0.6596491228070176,0.47058823529411764,0.9056603773584906,0.49101796407185627,0.33962264150943394,0.5733076682081832
64,5,3,3,0.001,128,128,0.359375,0.5019607843137255,0.8927536231884058,0.0,0.0,0.35081788150042625
64,5,7,2,0.0001,128,128,0.7168458781362007,0.7331378299120235,0.8952095808383234,0.6600985221674877,0.5573770491803278,0.7125337720468726
64,5,7,2,0.001,128,128,0.4624624624624625,0.5038759689922481,0.8895348837209303,0.0,0.0,0.37117466303512814
64,5,7,3,0.0001,128,128,0.6872586872586872,0.6090225563909775,0.9250720461095101,0.48366013071895425,0.5217391304347826,0.6453505101825823
64,5,7,3,0.001,128,128,0.4406779661016949,0.5,0.897841726618705,0.0,0.0,0.36770393854408
16,4,3,2,0.0001,128,128,0.6006389776357828,0.5287356321839081,0.9093525179856116,0.30985915492957744,0.42424242424242425,0.5545657413954609
16,4,3,2,0.001,128,128,0.6525679758308157,0.5075757575757576,0.9169054441260746,0.26865671641791045,0.45714285714285713,0.560569750218683
16,4,3,3,0.0001,128,128,0.6302250803858521,0.5378787878787878,0.9155937052932761,0.3333333333333333,0.2857142857142857,0.540549038521107
16,4,3,3,0.001,128,128,0.6289308176100629,0.519298245614035,0.9263456090651558,0.3333333333333333,0.4411764705882353,0.5698168952421645
16,4,7,2,0.0001,128,128,0.5754985754985755,0.4838709677419355,0.9027576197387518,0.4146341463414634,0.4057971014492754,0.5565116821540003
16,4,7,2,0.001,128,128,0.717948717948718,0.6906906906906907,0.9204052098408104,0.5747126436781609,0.47058823529411764,0.6748690994904994
16,4,7,3,0.0001,128,128,0.617363344051447,0.5693430656934306,0.9088277858176556,0.4685714285714286,0.4,0.5928211248267923
16,4,7,3,0.001,128,128,0.6038961038961039,0.5349794238683128,0.9310829817158931,0.5046728971962616,0.4406779661016949,0.6030618745556533
16,5,3,2,0.0001,128,128,0.6024844720496895,0.44813278008298757,0.9114285714285715,0.5365853658536586,0.425,0.5847262378829814
16,5,3,2,0.001,128,128,0.523943661971831,0.423728813559322,0.8911465892597968,0.0,0.0,0.36776381295819
16,5,3,3,0.0001,128,128,0.6687898089171974,0.5543071161048689,0.9166666666666666,0.6071428571428571,0.42857142857142855,0.6350955754806037
16,5,3,3,0.001,128,128,0.6395348837209303,0.5176470588235295,0.9148629148629148,0.32116788321167883,0.4358974358974359,0.5658220353032979
16,5,7,2,0.0001,128,128,0.6194690265486725,0.6058394160583942,0.911976911976912,0.5435897435897435,0.4444444444444444,0.6250639085236334
16,5,7,2,0.001,128,128,0.0,0.0,0.8821292775665399,0.0,0.0,0.17642585551330797
16,5,7,3,0.0001,128,128,0.55,0.4730290456431535,0.9088277858176556,0.4842105263157895,0.23076923076923078,0.5293673177091659
16,5,7,3,0.001,128,128,0.0,0.4846153846153846,0.8898550724637682,0.0,0.0,0.27489409141583054
