batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
64,5,7,2,0.001,128,128,0.7419,0.7254,0.9387,0.6087,0.6452,0.732
16,5,7,2,0.0001,128,128,0.6937,0.6618,0.9364,0.6703,0.6667,0.7258
64,5,3,2,0.001,128,128,0.7372,0.6226,0.9379,0.7075,0.6,0.721
16,4,7,2,0.0001,128,128,0.749,0.636,0.9269,0.6737,0.5938,0.7159
16,4,7,2,0.001,128,128,0.6723,0.6172,0.9333,0.7174,0.6316,0.7144
64,5,7,3,0.0001,128,128,0.6497,0.7034,0.9354,0.6667,0.5862,0.7083
64,5,7,2,0.0001,128,128,0.7472,0.6667,0.9318,0.6769,0.5185,0.7082
16,5,7,3,0.0001,128,128,0.7468,0.6173,0.938,0.6286,0.6087,0.7079
16,4,7,3,0.001,128,128,0.7287,0.6016,0.9307,0.6316,0.6301,0.7045
16,4,7,3,0.0001,128,128,0.7755,0.5906,0.9315,0.6458,0.5091,0.6905
16,5,7,3,0.001,128,128,0.7215,0.5932,0.9358,0.6746,0.5263,0.6902
64,5,3,3,0.001,128,128,0.7438,0.6418,0.941,0.6667,0.3673,0.6721
16,5,7,2,0.001,128,128,0.6917,0.5153,0.929,0.5556,0.5625,0.6508
64,4,7,3,0.0001,128,128,0.7094,0.5417,0.9359,0.4865,0.5283,0.6404
16,5,3,3,0.001,128,128,0.7137,0.583,0.9378,0.5034,0.4615,0.6399
64,4,7,2,0.0001,128,128,0.7297,0.5761,0.9343,0.4898,0.4444,0.6349
16,5,3,3,0.0001,128,128,0.7321,0.6031,0.9269,0.5595,0.3478,0.6339
64,4,3,2,0.001,128,128,0.6271,0.4299,0.9257,0.3115,0.5424,0.5673
16,5,3,2,0.001,128,128,0.6696,0.4265,0.9365,0.518,0.2273,0.5556
16,5,3,2,0.0001,128,128,0.5859,0.5639,0.9259,0.3704,0.3182,0.5528
64,4,7,2,0.001,128,128,0.6375,0.5064,0.9292,0.2602,0.3913,0.5449
16,4,3,3,0.0001,128,128,0.5586,0.4444,0.922,0.2857,0.4286,0.5279
16,4,3,2,0.0001,128,128,0.5192,0.4732,0.9284,0.2393,0.383,0.5086
64,4,7,3,0.001,128,128,0.5373,0.5603,0.9354,0.06,0.4,0.4986
64,4,3,3,0.001,128,128,0.53,0.4655,0.9255,0.2393,0.3111,0.4943
64,4,3,3,0.0001,128,128,0.478,0.4915,0.9233,0.2295,0.3265,0.4898
64,4,3,2,0.0001,128,128,0.4677,0.479,0.9209,0.1552,0.375,0.4796
64,5,3,2,0.0001,128,128,0.5631,0.4151,0.9278,0.1228,0.3333,0.4724
64,5,3,3,0.0001,128,128,0.4731,0.4444,0.9344,0.0962,0.2727,0.4442
16,4,3,3,0.001,128,128,0.4677,0.5081,0.9278,0.1607,0.1,0.4328
64,5,7,3,0.001,128,128,0.5432,0.5148,0.9346,0.1622,0.0,0.4309
16,4,3,2,0.001,128,128,0.4444,0.4876,0.916,0.04,0.0,0.3776
