batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
64,5,3,3,0.001,128,128,0.7619047619047619,0.7422680412371134,0.945868945868946,0.6596858638743456,0.5846153846153846,0.7388685995001103
64,5,7,2,0.001,128,128,0.7698412698412699,0.6906474820143885,0.9314285714285714,0.6745562130177515,0.5846153846153846,0.7302177841834732
64,4,7,2,0.0001,128,128,0.749034749034749,0.6538461538461539,0.9320113314447592,0.676923076923077,0.6071428571428571,0.7237916336783192
64,5,7,3,0.001,128,128,0.7258687258687259,0.7450980392156863,0.9375866851595008,0.5964912280701754,0.6129032258064516,0.723589580824108
16,5,3,2,0.001,128,128,0.7330677290836654,0.6023166023166023,0.9408528198074276,0.6567164179104478,0.6567164179104478,0.7179339974057182
64,4,3,3,0.001,128,128,0.7611336032388664,0.6412213740458015,0.9355742296918768,0.6724890829694323,0.576271186440678,0.7173378952773308
64,4,7,3,0.001,128,128,0.719626168224299,0.7299270072992701,0.9380281690140844,0.7309644670050761,0.4666666666666667,0.7170424956418793
64,5,7,2,0.0001,128,128,0.7137546468401487,0.6783216783216783,0.9338959212376934,0.6784140969162996,0.5384615384615384,0.7085695763554717
64,5,3,2,0.001,128,128,0.725,0.6642066420664207,0.9411764705882352,0.6411483253588517,0.5666666666666667,0.7076396209360348
16,5,3,3,0.0001,128,128,0.7673469387755102,0.5066666666666667,0.9281767955801103,0.6763285024154589,0.647887323943662,0.7052812454762816
16,5,7,3,0.001,128,128,0.631578947368421,0.5963636363636363,0.9358799454297408,0.6888888888888889,0.5333333333333333,0.6772089502768042
16,4,7,2,0.001,128,128,0.6457399103139013,0.6546762589928058,0.9452054794520548,0.6179775280898876,0.4745762711864407,0.6676350896070181
64,5,3,2,0.0001,128,128,0.75,0.6104417670682731,0.9322268326417704,0.6439024390243903,0.391304347826087,0.6655750773121041
16,5,7,2,0.0001,128,128,0.7027027027027027,0.592,0.9323943661971832,0.625,0.4615384615384615,0.6627271060876695
64,5,7,3,0.0001,128,128,0.6942148760330579,0.5783132530120482,0.9295774647887324,0.5027932960893855,0.5384615384615384,0.6486720856769524
16,4,3,2,0.0001,128,128,0.6962457337883959,0.5702479338842975,0.9247606019151848,0.6118721461187214,0.4313725490196078,0.6468997929452416
64,4,7,3,0.0001,128,128,0.7105263157894737,0.5655737704918032,0.9265536723163842,0.6350710900473934,0.391304347826087,0.6458058392942283
64,4,3,3,0.0001,128,128,0.7368421052631579,0.5384615384615384,0.9288702928870292,0.6009852216748769,0.3111111111111111,0.6232540538795426
64,4,7,2,0.001,128,128,0.6209677419354839,0.5703125,0.9303621169916436,0.5380116959064327,0.4313725490196078,0.6182053207706337
16,4,3,2,0.001,128,128,0.660377358490566,0.4978165938864629,0.9117647058823528,0.5454545454545454,0.4,0.6030826407427854
16,5,3,2,0.0001,128,128,0.6728395061728395,0.4075829383886256,0.9095744680851064,0.5866666666666667,0.4081632653061224,0.5969653689238721
64,4,3,2,0.0001,128,128,0.6885245901639344,0.5198237885462555,0.9245810055865922,0.4640883977900552,0.3829787234042553,0.5959993010982185
16,5,3,3,0.001,128,128,0.6431718061674009,0.4695652173913043,0.9293478260869564,0.5161290322580645,0.3555555555555555,0.5827538874918564
16,5,7,3,0.0001,128,128,0.5652173913043478,0.5928853754940712,0.9344490934449092,0.5714285714285714,0.2272727272727272,0.5782506317889253
64,4,3,2,0.001,128,128,0.6446280991735537,0.5316455696202531,0.9290681502086232,0.4122137404580153,0.3111111111111111,0.5657333341143111
64,5,3,3,0.0001,128,128,0.6557377049180327,0.4796380090497738,0.9322268326417704,0.546448087431694,0.15,0.5528101268082543
16,4,3,3,0.0001,128,128,0.6324110671936759,0.3883495145631068,0.9132176234979972,0.3660130718954248,0.15,0.4899982554300409
16,4,7,2,0.0001,128,128,0.5045045045045045,0.452991452991453,0.9207650273224044,0.1132075471698113,0.0,0.3982937063976346
16,4,7,3,0.0001,128,128,0.5258215962441315,0.4186046511627907,0.9214092140921408,0.0952380952380952,0.0,0.3922147113474317
16,5,7,2,0.001,128,128,0.1666666666666666,0.419047619047619,0.9366391184573004,0.0,0.0,0.3044706808343172
16,4,3,3,0.001,128,128,0.0,0.3947368421052631,0.8863049095607235,0.0,0.0,0.2562083503331973
16,4,7,3,0.001,128,128,0.0,0.3561643835616438,0.8961892247043364,0.0,0.0,0.250470721653196
