filename,width,height,class,xmin,ymin,xmax,ymax
upper_604302_jpg.rf.6215ee30a829ec658154eb4d067dfdf5.jpg,640,480,goalpost,548,306,595,365
upper_604302_jpg.rf.6215ee30a829ec658154eb4d067dfdf5.jpg,640,480,ball,0,373,23,419
upper_604302_jpg.rf.6215ee30a829ec658154eb4d067dfdf5.jpg,640,480,robot,180,88,421,479
lower_529445_jpg.rf.622bcace38eddcf4b59e52a676b06a8d.jpg,320,240,ball,137,36,193,91
upper_712209_jpg.rf.615664fc7366440b471c06efa75e8f6f.jpg,640,480,ball,507,376,533,402
upper_712209_jpg.rf.615664fc7366440b471c06efa75e8f6f.jpg,640,480,robot,199,252,289,424
upper_712209_jpg.rf.615664fc7366440b471c06efa75e8f6f.jpg,640,480,robot,435,269,491,399
upper_712209_jpg.rf.615664fc7366440b471c06efa75e8f6f.jpg,640,480,robot,267,253,339,417
upper_528977_jpg.rf.6184b33588033ce96401cd415d072f6a.jpg,640,480,robot,1,1,357,474
upper_571087_jpg.rf.6224bd89626947462e4b4b2c1041ee2f.jpg,640,480,robot,2,0,147,468
lower_917271_jpg.rf.6172afb2581107f15de16f8497cb716a.jpg,320,240,goalspot,20,70,68,103
upper_778572_jpg.rf.61d298e05648b14fe84da03f601ef0c3.jpg,640,480,robot,0,198,151,479
upper_463980_jpg.rf.60ec2af9536a4fd46104eb47ee8ebfe4.jpg,640,480,robot,500,4,606,149
upper_463980_jpg.rf.60ec2af9536a4fd46104eb47ee8ebfe4.jpg,640,480,robot,274,1,389,202
upper_102443_jpg.rf.6243d947db604498233bcb45d71d9eb8.jpg,640,480,ball,168,242,189,263
upper_102443_jpg.rf.6243d947db604498233bcb45d71d9eb8.jpg,640,480,robot,187,160,247,254
upper_103809_jpg.rf.6235690ab38fde80e671bfeff6723a39.jpg,640,480,goalpost,412,170,442,208
upper_103809_jpg.rf.6235690ab38fde80e671bfeff6723a39.jpg,640,480,goalpost,12,191,52,240
upper_103809_jpg.rf.6235690ab38fde80e671bfeff6723a39.jpg,640,480,goalspot,405,301,473,336
upper_103809_jpg.rf.6235690ab38fde80e671bfeff6723a39.jpg,640,480,robot,193,58,293,224
lower_506224_jpg.rf.61e98ec0b802afaa7b57fd8a475f6acd.jpg,320,240,robot,0,1,52,72
lower_506224_jpg.rf.61e98ec0b802afaa7b57fd8a475f6acd.jpg,320,240,ball,255,0,298,32
upper_564224_jpg.rf.620a822cb8c22f7294afb07bcb71a54c.jpg,640,480,goalpost,430,83,454,106
upper_564224_jpg.rf.620a822cb8c22f7294afb07bcb71a54c.jpg,640,480,goalpost,15,122,45,152
upper_564224_jpg.rf.620a822cb8c22f7294afb07bcb71a54c.jpg,640,480,goalspot,86,250,145,283
upper_564224_jpg.rf.620a822cb8c22f7294afb07bcb71a54c.jpg,640,480,robot,181,1,302,223
upper_564224_jpg.rf.620a822cb8c22f7294afb07bcb71a54c.jpg,640,480,robot,120,12,211,178
upper_808223_jpg.rf.615fc342ff06d56a523c980a70006e00.jpg,640,480,goalpost,348,141,374,161
upper_808223_jpg.rf.615fc342ff06d56a523c980a70006e00.jpg,640,480,goalpost,517,159,556,190
upper_808223_jpg.rf.615fc342ff06d56a523c980a70006e00.jpg,640,480,goalspot,199,200,224,214
upper_808223_jpg.rf.615fc342ff06d56a523c980a70006e00.jpg,640,480,robot,204,83,245,186
upper_808223_jpg.rf.615fc342ff06d56a523c980a70006e00.jpg,640,480,robot,139,89,181,179
upper_808223_jpg.rf.615fc342ff06d56a523c980a70006e00.jpg,640,480,robot,387,64,439,179
upper_856463_jpg.rf.61d3499bca5e58e371c759945082adeb.jpg,640,480,robot,547,243,637,401
upper_628256_jpg.rf.6121cc9a690cfa9224eba1640fd109d2.jpg,640,480,goalpost,451,100,465,117
upper_628256_jpg.rf.6121cc9a690cfa9224eba1640fd109d2.jpg,640,480,robot,379,57,406,118
upper_628256_jpg.rf.6121cc9a690cfa9224eba1640fd109d2.jpg,640,480,robot,504,64,545,131
upper_628256_jpg.rf.6121cc9a690cfa9224eba1640fd109d2.jpg,640,480,robot,579,66,617,129
upper_628256_jpg.rf.6121cc9a690cfa9224eba1640fd109d2.jpg,640,480,centerspot,331,162,380,185
upper_106927_jpg.rf.616a787fafde3ff21d03a25ceffbd843.jpg,640,480,robot,148,28,449,317
