batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,class_out,activation,dropout,mae_Score,R2_Score
16,6,7,3,0.0001,512,256,16,relu,0.0,0.02329534851014614,0.7479621767997742
16,6,7,3,0.0001,512,256,16,relu,0.1,0.023901505395770073,0.7652155756950378
16,6,7,3,0.0001,512,256,16,relu,0.2,0.022145619615912437,0.7741382122039795
16,6,7,3,0.0001,512,256,32,relu,0.0,0.025057779625058174,0.7391042113304138
16,6,7,3,0.0001,512,256,32,relu,0.1,0.02274150587618351,0.7634879946708679
16,6,7,3,0.0001,512,256,32,relu,0.2,0.022538259625434875,0.7717732787132263
16,6,7,3,0.0001,512,256,64,relu,0.0,0.024319356307387352,0.739960789680481
16,6,7,3,0.0001,512,256,64,relu,0.1,0.02358444407582283,0.7568882703781128
16,6,7,3,0.0001,512,256,64,relu,0.2,0.023597119376063347,0.7592476010322571
16,5,7,3,0.0001,512,256,16,relu,0.0,0.025531450286507607,0.7644910216331482
16,5,7,3,0.0001,512,256,16,relu,0.1,0.024335648864507675,0.7653576731681824
16,5,7,3,0.0001,512,256,16,relu,0.2,0.024673692882061005,0.7558448314666748
16,5,7,3,0.0001,512,256,32,relu,0.0,0.026312371715903282,0.745598554611206
16,5,7,3,0.0001,512,256,32,relu,0.1,0.027412299066781998,0.7331128120422363
16,5,7,3,0.0001,512,256,32,relu,0.2,0.025371437892317772,0.7693357467651367
16,5,7,3,0.0001,512,256,64,relu,0.0,0.027302945032715797,0.752333402633667
16,5,7,3,0.0001,512,256,64,relu,0.1,0.023819368332624435,0.7639138102531433
16,5,7,3,0.0001,512,256,64,relu,0.2,0.02552422136068344,0.7493164539337158
