batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,mae_Score,R2_Score
16,4,7,3,0.0001,256,256,0.025749199092388153,0.5861924290657043
16,4,7,3,0.0001,512,256,0.025451786816120148,0.6532657146453857
16,4,7,3,0.001,256,256,0.1304824948310852,-0.5688722133636475
16,4,7,3,0.001,512,256,0.11722898483276367,-0.3367108106613159
16,4,7,3,1e-05,256,256,0.08415631949901581,-0.06328710913658142
16,4,7,3,1e-05,512,256,0.0831376314163208,-0.06014987453818321
16,4,3,3,0.0001,256,256,0.032165925949811935,0.6292589902877808
16,4,3,3,0.0001,512,256,0.03177503123879433,0.6338298320770264
16,4,3,3,0.001,256,256,0.03366868570446968,0.6511624455451965
16,4,3,3,0.001,512,256,0.11722898483276367,-0.4478219449520111
16,4,3,3,1e-05,256,256,0.07738134264945984,0.005459752399474382
16,4,3,3,1e-05,512,256,0.07241597026586533,0.02905123680830002
16,5,7,3,0.0001,256,256,0.021836180239915848,0.6807219386100769
16,5,7,3,0.0001,512,256,0.021767238155007362,0.6976378560066223
16,5,7,3,0.001,256,256,0.1304824948310852,-0.5688722133636475
16,5,7,3,0.001,512,256,0.14946416020393372,-0.7492116093635559
16,5,7,3,1e-05,256,256,0.07165931165218353,0.03458389267325401
16,5,7,3,1e-05,512,256,0.0782233402132988,-0.04260532185435295
16,5,3,3,0.0001,256,256,0.029069820418953896,0.631914496421814
16,5,3,3,0.0001,512,256,0.02662716805934906,0.667903482913971
16,5,3,3,0.001,256,256,0.1304824948310852,-0.5688722133636475
16,5,3,3,0.001,512,256,0.1473936289548874,-0.844883918762207
16,5,3,3,1e-05,256,256,0.07358259707689285,0.023914847522974014
16,5,3,3,1e-05,512,256,0.07319808006286621,0.02433997392654419
